Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,RFID_Antenna2,1,~,
"C1, C19, C2, C21, C23, C24, C25, C26, C5, C7",0603,10,100n,C5137636
C10,0603,1,1n,	C1523
"C11, C12",0603,2,220p,
"C13, C18",0603,2,56p,
"C14, C16",0603,2,100p,
"C15, C17",0603,2,33p,
"C20, C6",0603,2,1u,C1592
"C22, C3, C4",0805,3,10u,C15850
"C8, C9",0603,2,22p,	C105620
"D1, D3",0603,2,LED,
D2,D_SOD-123,1,MBR0520,	C77335
D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C114586
J1,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0_14P,C3197885
J2,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,1,Conn_01x02,C20422588
"L1, L2",0603,2,470nH,	C280285
LS1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Speaker,	C76873
"Q1, Q2",SOT-23,2,BSS138,C40912
Q3,SOT-23,1,DMG2301L,C7472914
Q5,SOT-23,1,MMBT3904,	C2923360
"R1, R3, R8",0603,3,1k,
R10,0603,1,220,
"R11, R7, R9",0603,3,10k,
R2,0603,1,2k,
"R4, R5, R6",0603,3,5k1,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPST,C226259
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,C6946015
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U3,SOT-23-5,1,MCP73831-2-OT,C424093
U4,SOT-23-5,1,AP2112K-3.3,	C51118
U5,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias,1,RC522,C41361612
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal 27.12MHz,C164053
